"name","id....sapply.rep.11..nrow.test....generateUID.","shortName","valueType","domainType","aggregationType"
"Overall Data Quality Score","IMhkcA0LX7B","Overall Data Quality Score","INTEGER_POSITIVE","AGGREGATE","SUM"
"Data Verification Score","JdrfqoM4ZO9","Data Verification Score","INTEGER_POSITIVE","AGGREGATE","SUM"
"System Assessment Score","LXrUidJ4GWV","System Assessment Score","INTEGER_POSITIVE","AGGREGATE","SUM"
"Data Quality Parameter","XMid9xcEgpL","Data Quality Parameter","INTEGER_POSITIVE","AGGREGATE","SUM"
"Availability","xf0zIpyhNWU","Availability","INTEGER_POSITIVE","AGGREGATE","SUM"
"Completeness","iL7jdXgtWxa","Completeness","INTEGER_POSITIVE","AGGREGATE","SUM"
"Timeliness","yZSGHyeIn8X","Timeliness","INTEGER_POSITIVE","AGGREGATE","SUM"
"Integrity","lj2tK4dE5CG","Integrity","INTEGER_POSITIVE","AGGREGATE","SUM"
"Confidentiality","yIrqE54PjF9","Confidentiality","INTEGER_POSITIVE","AGGREGATE","SUM"
"Precision","BP5zfSMr7qL","Precision","INTEGER_POSITIVE","AGGREGATE","SUM"
